Time (s),Throttle (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W)
0,1000,0,0,1.72E-05,16.63860329,-0.016292444,0,0,0,,
8.3234864,1100,1889,0.109,0.013769387,16.63054001,0.244792441,17.82,2.723799699,66.90688549,13.53171824,9.053651229
12.4930826,1150,2583,0.225,0.02794824,16.61874802,0.572814322,36.34,7.559750985,79.41367967,10.94039874,8.688173211
16.6833756,1200,3297,0.421,0.044170128,16.60038239,1.08170785,61.22,15.25022405,84.92746304,9.112502535,7.739017222
20.8951654,1250,3933,0.658,0.065890619,16.57137596,1.860838561,105.27,27.13789456,88.00531125,7.801658391,6.86587375
25.0869446,1300,4566,1.043,0.086717423,16.53585274,2.807348204,169.38,41.46397078,89.31985533,6.978618348,6.233291813
29.2877246,1350,5158,1.291,0.111675397,16.48486961,4.059508867,250.69,60.32085113,90.13811048,6.357519292,5.730547764
33.4777358,1400,5737,1.627,0.136343133,16.42610435,5.495055752,325.21,81.91185022,90.74862538,5.802087928,5.265315038
37.6799766,1450,6232,2.112,0.168624778,16.3486898,7.44040041,421.52,110.046809,90.46866723,5.283884111,4.780259533
41.8656772,1500,6788,2.558,0.19893292,16.26094994,9.594856071,544.28,141.409019,90.63433074,4.874143016,4.417646902
46.0764558,1550,7240,2.785,0.23644265,16.14549026,12.45869537,660.62,179.2639666,89.11877286,4.597842743,4.097541031
